ELECTION_YR,CAND_ID,CAND_NM,CAND_PTY_AFFILIATION,CMTE_ID,CMTE_NM,CASH_ON_HAND_HAND_COP,DEBTS_OWED_TO_CMTE,DEBTS_OWED_BY_CMTE,EXP_SUBJECT_LIMITS,NET_CONTRIBUTIONS,NET_OPERATING_EXP,FEDERAL_FUNDS,INDIVIDUAL_ITEM_CONTRIB,INDIVIDUAL_UNITEM_CONTRIB,INDIVIDUAL_CONTRIBUTIONS,POLITICAL_PARTY_CONTRB,OTHER_CMTE_CONTRIB,CANDIDATE_CONTRIB,TOTAL_CONTRIBUTIONS,TRANF_FROM_AFFILIATED_CMTE,LOANS_FROM_CANDIDATE,OTHER_LOANS_RECEIVED,TOTAL_LOANS_RECEIVED,OFFSETS_TO_OP_EXP,OFFSETS_TO_FNDRSG_EXP,OFFSETS_TO_LEGAL_ACCTG,TTL_OFFSETS_TO_OP_EXP,OTHER_RECEIPTS,TOTAL_RECEIPTS,OPERATING_EXP,TRANF_TO_OTHER_AUTH_CMTE,FNDRSG_DISB,EXEMPT_LEGAL_ACCTG_DISB,REPYMTS_LOANS_MADE_BY_CAND,REPYMTS_OTHER_LOANS,TTL_LOAN_REPYMTS_MADE,REF_INDV_CONTB,REF_POL_PTY_CMTE_CONTRIB,REF_OTHER_POL_CMTE_CONTRIB,TTL_CONTRIB_REF_PER,OTHER_DISBURSEMENTS,TOTAL_DISBURSEMENTS
"2020","P00000001","All candidates,","","","","27739639.85","6150","16245097.2","","2133232492.16","2215296369.62","0","1096747360","888366417","1985113764.59","28763.99","1945884.77","1408564425.66","3395652839.01","601240316.47","69019223.26","580","69023803.26","63299833.81","328866.15","0","63628699.96","14748870.51","4144294529.21","3997674408.05","13001150.28","236662.51","0","15719520.3","580","15720100.3","43648916.85","5642.99","65522.71","43720082.55","60206353.31","4130558757"
"2020","P00000002","Democrats,","DEM","","","14275105.27","0","6242473.18","","2039710489.74","2136322356.93","0","836761483","653695083","1490456553.59","13265","1070576.47","1408452527.99","2899992923.05","290955098.21","49899360.38","0","49903360.38","52773034.67","19147.81","0","52792182.48","10699527.47","3304343091.59","3214149226.52","12604752.96","232500.25","0","15694473.61","0","15694473.61","32003057.36","0","36756.84","32039814.2","20389439.36","3295110206.9"
"2020","P00000003","Republicans,","REP","","","12076522.99","6150","3559554.92","","89498022.13","68501330.54","0","257577231","230722339","488299571.72","0","873108.3","24917.27","489197597.29","310285218.26","686385.41","0","686385.41","10505639.45","0","0","10505639.45","4048232.43","814723072.84","759794096.98","393947.32","0","0","0","0","0","11584099.15","4400","28765.87","11617265.02","39802887.59","811608196.91"
"2020","P00006213","Delaney, John K.","DEM","C00508416","FRIENDS OF JOHN DELANEY","12026.58","0","1493250","","3835781.31","14004071.15","0","2179823","342022","2521843.36","0","36000","1169076.55","3726919.91","0","25165000","0","25165000","292136.54","0","0","292136.54","0","29184056.45","14008718.4","60000","0","0","15000000","0","15000000","90850.89","0","3000","93850.89","63485.54","29226054.83"
"2020","P00006486","Yang, Andrew","DEM","C00659938","FRIENDS OF ANDREW YANG","214312.83","0","2010","","38948263.51","39703941.15","0","20637626","20552362","41189986.86","0","4345.64","46000","41240332.5","0","8000","0","8000","162454.79","0","0","162454.79","1196359.35","42607146.64","40378013.99","0","0","0","48000","0","48000","2210100.88","0","0","2210100.88","82000","42718114.87"
"2020","P00006841","Kokesh, Adam","LIB","C00662197","ADAM KOKESH AMERICAN REFERENDUM PROJECT","267.71","0","10552.39","","203528.8","199173.85","0","100871","17578","118448.73","0","0","85115.07","203563.8","0","21014.34","580","21594.34","1047.59","0","0","1047.59",".03","226205.76","200221.44","2450","4162.26","0","14262.99","580","14842.99","35","0","0","35","4226.36","225938.05"
"2020","P00008763","Ojeda, Richard Neece II","DEM","C00691444","OJEDA FOR PRESIDENT","0","0","42401.69","","71161.58","113161.58","0","28735","48742","77476.27","0","0","0","77476.27","42000","0","0","0","1.47","0","0","1.47","0","119477.74","113163.05","0","0","0","0","0","0","6314.69","0","0","6314.69","0","119477.74"
"2020","P00009092","Castro, Julián","DEM","C00693044","JULIÁN FOR THE FUTURE","561653.62","0","0","","10106461","9507560.56","0","3643574","6620621","10264194.12","0","20363.11","0","10284557.23","82.43","0","0","0","17380.52","0","0","17380.52","0","10302020.18","9524941.08","3550","0","0","0","0","0","174096.23","0","4000","178096.23","33779.25","9740366.56"
"2020","P00009183","Gabbard, Tulsi","DEM","C00693713","TULSI NOW","171107.85","0","0","","11916721.13","13701762.65","0","5324929","7119390","12444318.75","0","1000","75","12445393.75","2500000","0","0","0","315451.81","0","0","315451.81","55.58","15260901.14","14017214.46","526000","0","0","0","0","0","528672.62","0","0","528672.62","17906.21","15089793.29"
"2020","P00009290","Gillibrand, Kirsten ","DEM","C00694018","GILLIBRAND 2020","84388.65","0","0","","6206053.86","14365413.89","0","4299445","1979345","6278789.63","0","6925","77.76","6285792.39","9600000","0","0","0","50961.61","0","0","50961.61","17645.57","15954399.57","14416375.5","1372417.89","0","0","0","0","0","79738.53","0","0","79738.53","1479","15870010.92"
