total_spend,num_ads,avg_spend_per_ad,ad_count,spender_size,Advertiser,CLASS,Code,2020 assignment / context,Advertiser_Name
86418600.0,57464,1504.0,57464,Very Large (>$1M),BIDEN FOR PRESIDENT,Democratic,DEM_PRES_BIDEN,Official Joe Biden presidential campaign,BIDEN FOR PRESIDENT
85883700.0,22537,3811.0,22537,Very Large (>$1M),"DONALD J. TRUMP FOR PRESIDENT, INC.",Republican,REP_PRES_TRUMP,Official Donald Trump presidential campaign,"DONALD J. TRUMP FOR PRESIDENT, INC."
50340300.0,56714,888.0,56714,Very Large (>$1M),MIKE BLOOMBERG 2020 INC,Democratic,DEM_PRIMARY,Michael Bloomberg Democratic presidential primary campaign,MIKE BLOOMBERG 2020 INC
33928500.0,14121,2403.0,14121,Very Large (>$1M),TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,Republican,REP_PRES_TRUMP,Trump/Pence joint fundraising committee,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE
17237700.0,328,52554.0,328,Very Large (>$1M),BIDEN VICTORY FUND,Democratic,DEM_PRES_BIDEN,Biden/DNC joint fundraising committee,BIDEN VICTORY FUND
14069900.0,5595,2515.0,5595,Very Large (>$1M),DNC SERVICES CORP / DEMOCRATIC NATIONAL COMMITTEE,Democratic,DEM_PRES_BIDEN,Democratic National Committee; Biden-aligned in general election,DNC SERVICES CORP / DEMOCRATIC NATIONAL COMMITTEE
11995000.0,1104,10865.0,1104,Very Large (>$1M),DSCC,Democratic,DEM_DOWNBALLOT,Democratic Senatorial Campaign Committee,DSCC
8880500.0,4239,2095.0,4239,Very Large (>$1M),PRIORITIES USA ACTION,Democratic,DEM_ALIGNED_PAC,Major Democratic super PAC; pro-Biden/anti-Trump in 2020,PRIORITIES USA ACTION
8745200.0,3228,2709.0,3228,Very Large (>$1M),NRSC,Republican,REP_DOWNBALLOT,National Republican Senatorial Committee,NRSC
8450000.0,1348,6269.0,1348,Very Large (>$1M),"AMERICA FIRST ACTION, INC.",Republican,REP_ALIGNED_PAC,Pro-Trump Republican super PAC,"AMERICA FIRST ACTION, INC."
8105900.0,1008,8042.0,1008,Very Large (>$1M),SENATE LEADERSHIP FUND,Republican,REP_ALIGNED_PAC,Republican Senate super PAC,SENATE LEADERSHIP FUND
7379300.0,281,26261.0,281,Very Large (>$1M),YES ON 22 - SAVE APP-BASED JOBS & SERVICES,Republican,REP_ALIGNED_PAC,California Prop 22 ballot-measure campaign; not Biden/Trump,YES ON 22 - SAVE APP-BASED JOBS & SERVICES
6296700.0,2626,2398.0,2626,Very Large (>$1M),Republican National Committee,Republican,REP_PRES_TRUMP,Republican National Committee; Trump-aligned in general election,Republican National Committee
6196100.0,544,11390.0,544,Very Large (>$1M),"TEAM GRAHAM, INC.",Republican,REP_DOWNBALLOT,Lindsey Graham Republican Senate campaign,"TEAM GRAHAM, INC."
5967700.0,228,26174.0,228,Very Large (>$1M),BERNIE 2020,Democratic,DEM_PRIMARY,Bernie Sanders Democratic presidential primary campaign,BERNIE 2020
5252000.0,275,19098.0,275,Very Large (>$1M),SMP,Democratic,DEM_ALIGNED_PAC,Senate Majority PAC; Democratic Senate super PAC,SMP
5235700.0,1327,3946.0,1327,Very Large (>$1M),JAIME HARRISON FOR US SENATE,Democratic,DEM_DOWNBALLOT,"Jaime Harrison Democratic Senate campaign, South Carolina",JAIME HARRISON FOR US SENATE
4830800.0,436,11080.0,436,Very Large (>$1M),Mark Kelly for Senate,Democratic,DEM_DOWNBALLOT,"Mark Kelly Democratic Senate campaign, Arizona",Mark Kelly for Senate
4805400.0,100,48054.0,100,Very Large (>$1M),PRESERVE AMERICA PAC,Republican,REP_ALIGNED_PAC,Pro-Trump super PAC supporting Trump reelection,PRESERVE AMERICA PAC
4117000.0,326,12629.0,326,Very Large (>$1M),"AMY MCGRATH FOR SENATE, INC.",Democratic,DEM_DOWNBALLOT,"Amy McGrath Democratic Senate campaign, Kentucky","AMY MCGRATH FOR SENATE, INC."
4078000.0,179,22782.0,179,Very Large (>$1M),JON OSSOFF FOR SENATE,Democratic,DEM_DOWNBALLOT,"Jon Ossoff Democratic Senate campaign, Georgia",JON OSSOFF FOR SENATE
3913400.0,656,5966.0,656,Very Large (>$1M),AMERICANS FOR PROSPERITY ACTION INC,Republican,REP_ALIGNED_PAC,Koch-network conservative/libertarian-leaning PAC; generally GOP-aligned,AMERICANS FOR PROSPERITY ACTION INC
3845200.0,2082,1847.0,2082,Very Large (>$1M),CONGRESSIONAL LEADERSHIP FUND,Republican,REP_ALIGNED_PAC,Republican House super PAC,CONGRESSIONAL LEADERSHIP FUND
3713900.0,271,13704.0,271,Very Large (>$1M),STOP REPUBLICANS,Anti-Republican,DEM_ALIGNED_PAC,Anti-Republican Democratic/progressive-style advertiser,STOP REPUBLICANS
3572900.0,908,3935.0,908,Very Large (>$1M),"THERESA GREENFIELD FOR IOWA, INC.",Democratic,DEM_DOWNBALLOT,"Theresa Greenfield Democratic Senate campaign, Iowa","THERESA GREENFIELD FOR IOWA, INC."
3462600.0,1100,3148.0,1100,Very Large (>$1M),THE LINCOLN PROJECT,Anti-Trump,DEM_ALIGNED_PAC,Anti-Trump group founded by Republicans/ex-Republicans; effectively pro-Biden in 2020,THE LINCOLN PROJECT
3453100.0,422,8183.0,422,Very Large (>$1M),Priorities USA Action & SMP,Democratic,DEM_ALIGNED_PAC,Joint Democratic super PAC activity: pro-Biden + Democratic Senate,Priorities USA Action & SMP
3415100.0,259,13186.0,259,Very Large (>$1M),"NO ON 23 - STOP THE DANGEROUS & COSTLY DIALYSIS PROPOSITION, A COALITION OF DIALYSIS PROVIDERS, NURSES, DOCTORS AND PATIENTS",Unsure/Issue,BALLOT_ISSUE,California Prop 23 ballot-measure opposition; not presidential,"NO ON 23 - STOP THE DANGEROUS & COSTLY DIALYSIS PROPOSITION, A COALITION OF DIALYSIS PROVIDERS, NURSES, DOCTORS AND PATIENTS"
3293700.0,1441,2286.0,1441,Very Large (>$1M),NRCC,Republican,REP_DOWNBALLOT,National Republican Congressional Committee,NRCC
3073800.0,2584,1190.0,2584,Very Large (>$1M),"PETE FOR AMERICA, INC.",Democratic,DEM_PRIMARY,Pete Buttigieg Democratic presidential primary campaign,"PETE FOR AMERICA, INC."
3013800.0,307,9817.0,307,Very Large (>$1M),VOTE YES FOR FAIRNESS,Democratic,DEM_ALIGNED_ISSUE,Illinois “Fair Tax” ballot-measure campaign; backed by Democratic/progressive side but still primarily an issue campaign,VOTE YES FOR FAIRNESS
2966800.0,520,5705.0,520,Very Large (>$1M),House Majority PAC,Democratic,DEM_ALIGNED_PAC,Democratic House super PAC,House Majority PAC
2904200.0,181,16045.0,181,Very Large (>$1M),TOM STEYER 2020,Democratic,DEM_PRIMARY,Tom Steyer Democratic presidential primary campaign,TOM STEYER 2020
2810700.0,662,4246.0,662,Very Large (>$1M),One Nation,Republican,REP_ALIGNED_PAC,"Conservative/Republican-aligned nonprofit, often active in Senate races",One Nation
2695500.0,691,3901.0,691,Very Large (>$1M),MCSALLY FOR SENATE INC,Republican,REP_DOWNBALLOT,"Martha McSally Republican Senate campaign, Arizona",MCSALLY FOR SENATE INC
2350000.0,1130,2080.0,1130,Very Large (>$1M),MONTANANS FOR BULLOCK,Democratic,DEM_DOWNBALLOT,"Steve Bullock Democratic Senate campaign, Montana",MONTANANS FOR BULLOCK
2291600.0,38,60305.0,38,Very Large (>$1M),GEORGIA ACTION FUND,Republican,REP_ALIGNED_PAC,Republican super PAC active in Georgia; best coded GOP-aligned,GEORGIA ACTION FUND
2225400.0,859,2591.0,859,Very Large (>$1M),DCCC,Democratic,DEM_DOWNBALLOT,Democratic Congressional Campaign Committee,DCCC
2195000.0,340,6456.0,340,Very Large (>$1M),"NRA Victory Fund, Inc.",Republican,REP_ALIGNED_PAC,NRA political fund; conservative/Republican-aligned,"NRA Victory Fund, Inc."
2164100.0,595,3637.0,595,Very Large (>$1M),Steve Daines for Montana,Republican,REP_DOWNBALLOT,"Steve Daines Republican Senate campaign, Montana",Steve Daines for Montana
2141000.0,659,3249.0,659,Very Large (>$1M),CAL FOR NC,Democratic,DEM_DOWNBALLOT,"Cal Cunningham Democratic Senate campaign, North Carolina",CAL FOR NC
1992500.0,174,11451.0,174,Very Large (>$1M),PETERS FOR MICHIGAN,Democratic,DEM_DOWNBALLOT,"Gary Peters Democratic Senate campaign, Michigan",PETERS FOR MICHIGAN
1922300.0,4278,449.0,4278,Very Large (>$1M),INDEPENDENCE USA PAC,Democratic,DEM_ALIGNED_PAC,Michael Bloomberg-associated PAC; generally anti-Republican/Democratic-aligned in 2020,INDEPENDENCE USA PAC
1842000.0,60,30700.0,60,Very Large (>$1M),"HOME BOX OFFICE, INC.",Commercial/Media,COMMERCIAL_MEDIA_UNCLEAR,HBO/media company; not a candidate or party committee,"HOME BOX OFFICE, INC."
1827300.0,3124,585.0,3124,Very Large (>$1M),Hickenlooper for Colorado,Democratic,DEM_DOWNBALLOT,"John Hickenlooper Democratic Senate campaign, Colorado",Hickenlooper for Colorado
1730500.0,869,1991.0,869,Very Large (>$1M),SARA GIDEON FOR MAINE,Democratic,DEM_DOWNBALLOT,"Sara Gideon Democratic Senate campaign, Maine",SARA GIDEON FOR MAINE
1720600.0,258,6669.0,258,Very Large (>$1M),WARNOCK FOR GEORGIA,Democratic,DEM_DOWNBALLOT,"Raphael Warnock Democratic Senate campaign, Georgia",WARNOCK FOR GEORGIA
1625500.0,234,6947.0,234,Very Large (>$1M),TEXANS FOR SENATOR JOHN CORNYN INC.,Republican,REP_DOWNBALLOT,"John Cornyn Republican Senate campaign, Texas",TEXANS FOR SENATOR JOHN CORNYN INC.
1614200.0,180,8968.0,180,Very Large (>$1M),MCCONNELL SENATE COMMITTEE,Republican,REP_DOWNBALLOT,"Mitch McConnell Republican Senate campaign, Kentucky",MCCONNELL SENATE COMMITTEE
1560300.0,3,520100.0,3,Very Large (>$1M),SCHOOLS AND COMMUNITIES FIRST,Democratic,DEM_ALIGNED_ISSUE,California Prop 15 campaign; progressive/Democratic-aligned tax ballot measure,SCHOOLS AND COMMUNITIES FIRST
1538500.0,165,9324.0,165,Very Large (>$1M),AMERICAN BRIDGE 21ST CENTURY,Anti-Republican,DEM_ALIGNED_PAC,Democratic opposition-research / anti-Republican PAC,AMERICAN BRIDGE 21ST CENTURY
