,year,election_datetime,stage,office,participant,party,party_side,state_name,state_code,county,county_fips,vote_mode,vote_mode_raw,votes,county_total_votes,vote_share,data_version
0,2020,2020-11-03,general,US PRESIDENT,Joseph R Biden Jr,DEMOCRAT,democratic,ALASKA,AK,DISTRICT 1,2001.0,total,TOTAL,3477.0,7314,0.4753896636587367,20260225
1,2020,2020-11-03,general,US PRESIDENT,Donald J Trump,REPUBLICAN,republican,ALASKA,AK,DISTRICT 1,2001.0,total,TOTAL,3511.0,7314,0.48003828274541976,20260225
2,2020,2020-11-03,general,US PRESIDENT,Joseph R Biden Jr,DEMOCRAT,democratic,ALASKA,AK,DISTRICT 10,2010.0,total,TOTAL,2727.0,11205,0.2433734939759036,20260225
3,2020,2020-11-03,general,US PRESIDENT,Donald J Trump,REPUBLICAN,republican,ALASKA,AK,DISTRICT 10,2010.0,total,TOTAL,8081.0,11205,0.7211958946898706,20260225
4,2020,2020-11-03,general,US PRESIDENT,Joseph R Biden Jr,DEMOCRAT,democratic,ALASKA,AK,DISTRICT 11,2011.0,total,TOTAL,3130.0,10628,0.29450508091832894,20260225
5,2020,2020-11-03,general,US PRESIDENT,Donald J Trump,REPUBLICAN,republican,ALASKA,AK,DISTRICT 11,2011.0,total,TOTAL,7096.0,10628,0.6676703048550997,20260225
6,2020,2020-11-03,general,US PRESIDENT,Joseph R Biden Jr,DEMOCRAT,democratic,ALASKA,AK,DISTRICT 12,2012.0,total,TOTAL,2957.0,11238,0.2631251112297562,20260225
7,2020,2020-11-03,general,US PRESIDENT,Donald J Trump,REPUBLICAN,republican,ALASKA,AK,DISTRICT 12,2012.0,total,TOTAL,7893.0,11238,0.702349172450614,20260225
8,2020,2020-11-03,general,US PRESIDENT,Joseph R Biden Jr,DEMOCRAT,democratic,ALASKA,AK,DISTRICT 13,2013.0,total,TOTAL,2666.0,7713,0.3456502009594192,20260225
9,2020,2020-11-03,general,US PRESIDENT,Donald J Trump,REPUBLICAN,republican,ALASKA,AK,DISTRICT 13,2013.0,total,TOTAL,4652.0,7713,0.6031375599636977,20260225
10,2020,2020-11-03,general,US PRESIDENT,Joseph R Biden Jr,DEMOCRAT,democratic,ALASKA,AK,DISTRICT 14,2014.0,total,TOTAL,4261.0,11443,0.37236738617495413,20260225
11,2020,2020-11-03,general,US PRESIDENT,Donald J Trump,REPUBLICAN,republican,ALASKA,AK,DISTRICT 14,2014.0,total,TOTAL,6714.0,11443,0.586734248011885,20260225
12,2020,2020-11-03,general,US PRESIDENT,Joseph R Biden Jr,DEMOCRAT,democratic,ALASKA,AK,DISTRICT 15,2015.0,total,TOTAL,2622.0,5559,0.4716675661090124,20260225
13,2020,2020-11-03,general,US PRESIDENT,Donald J Trump,REPUBLICAN,republican,ALASKA,AK,DISTRICT 15,2015.0,total,TOTAL,2671.0,5559,0.48048210109731965,20260225
14,2020,2020-11-03,general,US PRESIDENT,Joseph R Biden Jr,DEMOCRAT,democratic,ALASKA,AK,DISTRICT 16,2016.0,total,TOTAL,4274.0,8118,0.5264843557526484,20260225
15,2020,2020-11-03,general,US PRESIDENT,Donald J Trump,REPUBLICAN,republican,ALASKA,AK,DISTRICT 16,2016.0,total,TOTAL,3516.0,8118,0.43311160384331115,20260225
16,2020,2020-11-03,general,US PRESIDENT,Joseph R Biden Jr,DEMOCRAT,democratic,ALASKA,AK,DISTRICT 17,2017.0,total,TOTAL,4136.0,7239,0.5713496339273381,20260225
17,2020,2020-11-03,general,US PRESIDENT,Donald J Trump,REPUBLICAN,republican,ALASKA,AK,DISTRICT 17,2017.0,total,TOTAL,2810.0,7239,0.3881751623152369,20260225
18,2020,2020-11-03,general,US PRESIDENT,Joseph R Biden Jr,DEMOCRAT,democratic,ALASKA,AK,DISTRICT 18,2018.0,total,TOTAL,4681.0,7720,0.6063471502590674,20260225
19,2020,2020-11-03,general,US PRESIDENT,Donald J Trump,REPUBLICAN,republican,ALASKA,AK,DISTRICT 18,2018.0,total,TOTAL,2760.0,7720,0.35751295336787564,20260225
20,2020,2020-11-03,general,US PRESIDENT,Joseph R Biden Jr,DEMOCRAT,democratic,ALASKA,AK,DISTRICT 19,2019.0,total,TOTAL,3118.0,5301,0.5881909073759668,20260225
21,2020,2020-11-03,general,US PRESIDENT,Donald J Trump,REPUBLICAN,republican,ALASKA,AK,DISTRICT 19,2019.0,total,TOTAL,1975.0,5301,0.3725712129786833,20260225
22,2020,2020-11-03,general,US PRESIDENT,Joseph R Biden Jr,DEMOCRAT,democratic,ALASKA,AK,DISTRICT 2,2002.0,total,TOTAL,2104.0,6136,0.3428943937418514,20260225
23,2020,2020-11-03,general,US PRESIDENT,Donald J Trump,REPUBLICAN,republican,ALASKA,AK,DISTRICT 2,2002.0,total,TOTAL,3674.0,6136,0.598761408083442,20260225
24,2020,2020-11-03,general,US PRESIDENT,Joseph R Biden Jr,DEMOCRAT,democratic,ALASKA,AK,DISTRICT 20,2020.0,total,TOTAL,4881.0,7497,0.6510604241696679,20260225
25,2020,2020-11-03,general,US PRESIDENT,Donald J Trump,REPUBLICAN,republican,ALASKA,AK,DISTRICT 20,2020.0,total,TOTAL,2383.0,7497,0.31786047752434304,20260225
26,2020,2020-11-03,general,US PRESIDENT,Joseph R Biden Jr,DEMOCRAT,democratic,ALASKA,AK,DISTRICT 21,2021.0,total,TOTAL,5414.0,9429,0.5741860218474918,20260225
27,2020,2020-11-03,general,US PRESIDENT,Donald J Trump,REPUBLICAN,republican,ALASKA,AK,DISTRICT 21,2021.0,total,TOTAL,3690.0,9429,0.3913458479160038,20260225
28,2020,2020-11-03,general,US PRESIDENT,Joseph R Biden Jr,DEMOCRAT,democratic,ALASKA,AK,DISTRICT 22,2022.0,total,TOTAL,4553.0,9520,0.4782563025210084,20260225
