election_year,election_stage,week_start,party_side,advertiser_class,advertiser_code,platform,source,total_spend_usd,num_advertisers,num_ads,spend_category
2020,Convention,2020-06-10,Democratic,Democratic,DEM_DOWNBALLOT,Google,creative,13000.0,1,2,Mid
2020,Convention,2020-06-10,Republican,Republican,REP_ALIGNED_PAC,Google,creative,92150.0,3,58,Large
2020,Convention,2020-06-10,Republican,Republican,REP_DOWNBALLOT,Google,creative,19200.0,4,44,Mid
2020,Convention,2020-06-10,Republican,Republican,REP_PRES_TRUMP,Google,creative,78350.0,2,99,Large
2020,Convention,2020-06-11,Democratic,Democratic,DEM_ALIGNED_PAC,Google,creative,63700.0,2,44,Large
2020,Convention,2020-06-11,Democratic,Democratic,DEM_DOWNBALLOT,Google,creative,176450.0,3,20,Large
2020,Convention,2020-06-11,Republican,Republican,REP_ALIGNED_PAC,Google,creative,31200.0,2,22,Mid
2020,Convention,2020-06-11,Republican,Republican,REP_DOWNBALLOT,Google,creative,69350.0,4,77,Large
2020,Convention,2020-06-11,Republican,Republican,REP_PRES_TRUMP,Google,creative,164750.0,2,295,Large
2020,Convention,2020-06-12,Democratic,Democratic,DEM_ALIGNED_PAC,Google,creative,280950.0,2,279,Large
2020,Convention,2020-06-12,Democratic,Democratic,DEM_PRES_BIDEN,Google,creative,37900.0,2,38,Mid
2020,Convention,2020-06-12,Republican,Republican,COMMERCIAL_MEDIA_UNCLEAR,Google,creative,9500.0,1,1,Mid
2020,Convention,2020-06-12,Republican,Republican,REP_ALIGNED_PAC,Google,creative,21850.0,4,11,Mid
2020,Convention,2020-06-12,Republican,Republican,REP_DOWNBALLOT,Google,creative,13850.0,4,73,Mid
2020,Convention,2020-06-12,Republican,Republican,REP_PRES_TRUMP,Google,creative,99150.0,2,349,Large
2020,Convention,2020-06-13,Democratic,Democratic,DEM_ALIGNED_PAC,Google,creative,12200.0,2,65,Mid
2020,Convention,2020-06-13,Republican,Republican,REP_DOWNBALLOT,Google,creative,3950.0,3,19,Small
2020,Convention,2020-06-13,Republican,Republican,REP_PRES_TRUMP,Google,creative,186950.0,2,86,Large
2020,Convention,2020-06-14,Democratic,Anti-Republican,DEM_ALIGNED_PAC,Google,weekly,47000.0,1,1,Mid
2020,Convention,2020-06-14,Democratic,Anti-Trump,DEM_ALIGNED_PAC,Google,weekly,900.0,1,1,Small
2020,Convention,2020-06-14,Democratic,Democratic,DEM_ALIGNED_ISSUE,Google,weekly,1000.0,1,1,Small
2020,Convention,2020-06-14,Democratic,Democratic,DEM_ALIGNED_PAC,Google,creative,2100.0,2,30,Small
2020,Convention,2020-06-14,Democratic,Democratic,DEM_ALIGNED_PAC,Google,weekly,460800.0,11,11,Large
2020,Convention,2020-06-14,Democratic,Democratic,DEM_DOWNBALLOT,Google,weekly,421600.0,22,24,Large
2020,Convention,2020-06-14,Democratic,Democratic,DEM_PRES_BIDEN,Google,creative,2975000.0,1,4,Large
2020,Convention,2020-06-14,Democratic,Democratic,DEM_PRES_BIDEN,Google,weekly,2161200.0,4,4,Large
2020,Convention,2020-06-14,Republican,Republican,COMMERCIAL_MEDIA_UNCLEAR,Google,weekly,30100.0,2,2,Mid
2020,Convention,2020-06-14,Republican,Republican,REP_ALIGNED_PAC,Google,creative,24200.0,1,9,Mid
2020,Convention,2020-06-14,Republican,Republican,REP_ALIGNED_PAC,Google,weekly,163800.0,7,7,Large
2020,Convention,2020-06-14,Republican,Republican,REP_DOWNBALLOT,Google,creative,350.0,1,5,Very Small
2020,Convention,2020-06-14,Republican,Republican,REP_DOWNBALLOT,Google,weekly,433400.0,16,17,Large
2020,Convention,2020-06-14,Republican,Republican,REP_PRES_TRUMP,Google,creative,350.0,1,7,Very Small
2020,Convention,2020-06-14,Republican,Republican,REP_PRES_TRUMP,Google,weekly,1462000.0,2,2,Large
2020,Convention,2020-06-15,Democratic,Democratic,DEM_ALIGNED_PAC,Google,creative,66500.0,4,29,Large
2020,Convention,2020-06-15,Democratic,Democratic,DEM_DOWNBALLOT,Google,creative,15250.0,2,3,Mid
2020,Convention,2020-06-15,Republican,Republican,REP_ALIGNED_PAC,Google,creative,1000.0,2,8,Small
2020,Convention,2020-06-15,Republican,Republican,REP_DOWNBALLOT,Google,creative,12300.0,3,7,Mid
2020,Convention,2020-06-15,Republican,Republican,REP_PRES_TRUMP,Google,creative,1080300.0,2,130,Large
2020,Convention,2020-06-16,Democratic,Anti-Trump,DEM_ALIGNED_PAC,Google,creative,2050.0,1,41,Small
2020,Convention,2020-06-16,Democratic,Democratic,DEM_ALIGNED_PAC,Google,creative,125200.0,3,27,Large
2020,Convention,2020-06-16,Democratic,Democratic,DEM_DOWNBALLOT,Google,creative,168500.0,4,51,Large
2020,Convention,2020-06-16,Republican,Republican,COMMERCIAL_MEDIA_UNCLEAR,Google,creative,7500.0,1,1,Mid
2020,Convention,2020-06-16,Republican,Republican,REP_ALIGNED_PAC,Google,creative,8400.0,2,7,Mid
2020,Convention,2020-06-16,Republican,Republican,REP_DOWNBALLOT,Google,creative,157650.0,9,125,Large
2020,Convention,2020-06-16,Republican,Republican,REP_PRES_TRUMP,Google,creative,56000.0,2,55,Large
2020,Convention,2020-06-17,Democratic,Democratic,DEM_ALIGNED_PAC,Google,creative,124750.0,4,106,Large
2020,Convention,2020-06-17,Democratic,Democratic,DEM_DOWNBALLOT,Google,creative,31750.0,4,5,Mid
2020,Convention,2020-06-17,Democratic,Democratic,DEM_PRES_BIDEN,Google,creative,300000.0,1,4,Large
2020,Convention,2020-06-17,Republican,Republican,REP_DOWNBALLOT,Google,creative,134150.0,6,101,Large
2020,Convention,2020-06-17,Republican,Republican,REP_PRES_TRUMP,Google,creative,29400.0,2,27,Mid
2020,Convention,2020-06-18,Democratic,Anti-Trump,DEM_ALIGNED_PAC,Google,creative,350.0,1,7,Very Small
2020,Convention,2020-06-18,Democratic,Democratic,DEM_ALIGNED_PAC,Google,creative,147600.0,2,146,Large
2020,Convention,2020-06-18,Democratic,Democratic,DEM_DOWNBALLOT,Google,creative,57400.0,3,36,Large
2020,Convention,2020-06-18,Democratic,Democratic,DEM_PRES_BIDEN,Google,creative,1540050.0,1,10,Large
2020,Convention,2020-06-18,Republican,Republican,REP_ALIGNED_PAC,Google,creative,8150.0,2,9,Mid
2020,Convention,2020-06-18,Republican,Republican,REP_DOWNBALLOT,Google,creative,71800.0,5,38,Large
2020,Convention,2020-06-18,Republican,Republican,REP_PRES_TRUMP,Google,creative,29600.0,1,65,Mid
2020,Convention,2020-06-19,Democratic,Democratic,DEM_ALIGNED_PAC,Google,creative,46300.0,3,26,Mid
2020,Convention,2020-06-19,Democratic,Democratic,DEM_DOWNBALLOT,Google,creative,43200.0,3,13,Mid
2020,Convention,2020-06-19,Democratic,Democratic,DEM_PRES_BIDEN,Google,creative,284650.0,2,691,Large
2020,Convention,2020-06-19,Republican,Republican,REP_ALIGNED_PAC,Google,creative,150400.0,2,52,Large
2020,Convention,2020-06-19,Republican,Republican,REP_DOWNBALLOT,Google,creative,372250.0,6,54,Large
2020,Convention,2020-06-19,Republican,Republican,REP_PRES_TRUMP,Google,creative,110500.0,2,103,Large
2020,Convention,2020-06-20,Democratic,Democratic,DEM_ALIGNED_PAC,Google,creative,168200.0,2,17,Large
2020,Convention,2020-06-20,Democratic,Democratic,DEM_DOWNBALLOT,Google,creative,106350.0,4,24,Large
2020,Convention,2020-06-20,Democratic,Democratic,DEM_PRES_BIDEN,Google,creative,28750.0,2,38,Mid
2020,Convention,2020-06-20,Republican,Republican,REP_ALIGNED_PAC,Google,creative,350.0,1,7,Very Small
2020,Convention,2020-06-20,Republican,Republican,REP_DOWNBALLOT,Google,creative,4700.0,2,14,Small
2020,Convention,2020-06-20,Republican,Republican,REP_PRES_TRUMP,Google,creative,225900.0,2,47,Large
2020,Convention,2020-06-21,Democratic,Anti-Republican,DEM_ALIGNED_PAC,Google,weekly,63300.0,2,2,Large
2020,Convention,2020-06-21,Democratic,Anti-Trump,DEM_ALIGNED_PAC,Google,weekly,2600.0,1,1,Small
2020,Convention,2020-06-21,Democratic,Democratic,DEM_ALIGNED_ISSUE,Google,weekly,1200.0,1,1,Small
2020,Convention,2020-06-21,Democratic,Democratic,DEM_ALIGNED_PAC,Google,creative,750.0,2,7,Small
2020,Convention,2020-06-21,Democratic,Democratic,DEM_ALIGNED_PAC,Google,weekly,535500.0,13,14,Large
2020,Convention,2020-06-21,Democratic,Democratic,DEM_DOWNBALLOT,Google,creative,27300.0,4,14,Mid
2020,Convention,2020-06-21,Democratic,Democratic,DEM_DOWNBALLOT,Google,weekly,520600.0,23,26,Large
2020,Convention,2020-06-21,Democratic,Democratic,DEM_PRES_BIDEN,Google,creative,19800.0,2,11,Mid
2020,Convention,2020-06-21,Democratic,Democratic,DEM_PRES_BIDEN,Google,weekly,2473600.0,4,4,Large
2020,Convention,2020-06-21,Republican,Republican,COMMERCIAL_MEDIA_UNCLEAR,Google,weekly,16100.0,2,2,Mid
2020,Convention,2020-06-21,Republican,Republican,REP_ALIGNED_PAC,Google,creative,6500.0,1,1,Mid
2020,Convention,2020-06-21,Republican,Republican,REP_ALIGNED_PAC,Google,weekly,202900.0,7,7,Large
2020,Convention,2020-06-21,Republican,Republican,REP_DOWNBALLOT,Google,creative,150.0,2,3,Very Small
2020,Convention,2020-06-21,Republican,Republican,REP_DOWNBALLOT,Google,weekly,524300.0,16,17,Large
2020,Convention,2020-06-21,Republican,Republican,REP_PRES_TRUMP,Google,creative,130150.0,1,55,Large
2020,Convention,2020-06-21,Republican,Republican,REP_PRES_TRUMP,Google,weekly,1964900.0,2,2,Large
2020,Convention,2020-06-22,Democratic,Anti-Trump,DEM_ALIGNED_PAC,Google,creative,4250.0,1,1,Small
2020,Convention,2020-06-22,Democratic,Democratic,DEM_ALIGNED_PAC,Google,creative,64350.0,5,18,Large
2020,Convention,2020-06-22,Democratic,Democratic,DEM_DOWNBALLOT,Google,creative,25050.0,4,6,Mid
2020,Convention,2020-06-22,Democratic,Democratic,DEM_PRES_BIDEN,Google,creative,50.0,1,1,Very Small
2020,Convention,2020-06-22,Republican,Republican,REP_ALIGNED_PAC,Google,creative,13000.0,2,7,Mid
2020,Convention,2020-06-22,Republican,Republican,REP_DOWNBALLOT,Google,creative,32750.0,6,32,Mid
2020,Convention,2020-06-22,Republican,Republican,REP_PRES_TRUMP,Google,creative,2250.0,1,3,Small
2020,Convention,2020-06-23,Democratic,Democratic,DEM_ALIGNED_PAC,Google,creative,51450.0,3,37,Large
2020,Convention,2020-06-23,Democratic,Democratic,DEM_DOWNBALLOT,Google,creative,187300.0,3,8,Large
